program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,Conservation Program Totale,2026,5606.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2026,2026,2026,117,7
USDA Farm Programs,Conservation Program Totale,2027,5801.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2027,2027,2027,117,8
USDA Farm Programs,Conservation Program Totale,2028,5820.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2028,2028,2028,117,9
USDA Farm Programs,Conservation Program Totale,2029,5859.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2029,2029,2029,117,10
USDA Farm Programs,Conservation Program Totale,2030,5836.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2030,2030,2030,117,11
USDA Farm Programs,Conservation Program Totale,2031,5825.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2031,2031,2031,117,12
USDA Farm Programs,Conservation Program Totale,2032,6018.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2032,2032,2032,117,13
USDA Farm Programs,Conservation Program Totale,2033,6285.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,true,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary) / Commodity Credit Corporation Price / Conservation Program Totale,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Summary),Commodity Credit Corporation Price,,fiscal_year,2033,2033,2033,117,14
USDA Farm Programs,Feed Grains,2022,74.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Details) / Program / Feed Grains,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Details),Program,,fiscal_year,2022,2022,2022,144,3
USDA Farm Programs,Feed Grains,2023,39.0,Millions of dollars,51317-2023-02-usda.xlsx,USDA Mand 02-2023,false,51317,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Details) / Program / Feed Grains,ACCOUNTS COMPARABLE TO THE USDA BASELINE (Details),Program,,fiscal_year,2023,2023,2023,144,4
