program,category,fiscal_year,value,unit,source_file,source_sheet,is_total,program_id,category_path,table_title,section,subsection,period_type,period_start_year,period_end_year,period_label,source_row,source_column
USDA Farm Programs,ARC-CO,2031,28.0,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2031,2031,2031,1235,11
USDA Farm Programs,ARC-CO,2032,22.9,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2032,2032,2032,1235,12
USDA Farm Programs,ARC-CO,2033,20.3,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2033,2033,2033,1235,13
USDA Farm Programs,ARC-CO,2034,17.8,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-CO,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2034,2034,2034,1235,14
USDA Farm Programs,ARC-IC,2022,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2022,2022,2022,1236,2
USDA Farm Programs,ARC-IC,2023,0.4,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2023,2023,2023,1236,3
USDA Farm Programs,ARC-IC,2024,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2024,2024,2024,1236,4
USDA Farm Programs,ARC-IC,2025,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2025,2025,2025,1236,5
USDA Farm Programs,ARC-IC,2026,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2026,2026,2026,1236,6
USDA Farm Programs,ARC-IC,2027,0.2,Percentage of base acres,51317-2024-06-usda.xlsx,USDA_FarmProgBaseline_06-2024,false,51317,SORGHUM SUPPLY AND USE / Participation / ARC-IC,SORGHUM SUPPLY AND USE,Participation,,fiscal_year,2027,2027,2027,1236,7
